START:	 26.500000000000107
END:	 26.600000000000108

r [km]	 vr [km/s]	 np [cm-3]	 T [K]
18500730.0	 278.0299377441406	 2049.71142578125	 112977.8125
18500710.0	 298.7005310058594	 1834.6177978515625	 110031.7109375
18500686.0	 299.2283935546875	 1412.212646484375	 104223.390625
18500664.0	 314.4279479980469	 1258.536865234375	 120967.984375
18500534.0	 292.6254577636719	 1931.3199462890625	 110988.453125
18500510.0	 295.07769775390625	 1534.0595703125	 123487.078125
18500488.0	 298.1542663574219	 1508.1553955078125	 113071.015625
18500466.0	 295.38629150390625	 2079.029541015625	 119532.7265625
18500444.0	 294.2388916015625	 1501.13232421875	 102165.96875
18500422.0	 285.31744384765625	 1668.5535888671875	 113402.890625
18500400.0	 294.314697265625	 1957.95263671875	 123737.109375
18500378.0	 289.3636779785156	 1706.9326171875	 111458.4140625
18500354.0	 293.4556884765625	 1499.876708984375	 103147.1171875
18500332.0	 292.0987548828125	 1742.7689208984375	 119091.46875
18500312.0	 294.01824951171875	 1481.5150146484375	 107702.3671875
18500288.0	 299.9906311035156	 1553.9674072265625	 107748.984375
18500266.0	 298.84771728515625	 1707.519287109375	 110729.21875
18500222.0	 287.3150329589844	 1859.7945556640625	 121558.6484375
18498610.0	 243.849365234375	 1938.4049072265625	 100280.234375
18498586.0	 245.74908447265625	 1952.757080078125	 88802.46875
18498256.0	 243.05224609375	 2489.2392578125	 103020.71875
18498234.0	 245.75990295410156	 2273.898681640625	 103214.296875
18498210.0	 246.87814331054688	 1959.502197265625	 100517.328125
18498188.0	 249.58380126953125	 1826.96728515625	 86475.1328125
18498166.0	 247.56785583496094	 2072.217529296875	 118201.9140625
18498144.0	 245.42005920410156	 2022.2779541015625	 103981.140625
18498100.0	 259.1981506347656	 1808.8109130859375	 117204.21875
18498078.0	 267.65325927734375	 1718.8411865234375	 115316.0625
18497968.0	 250.1679229736328	 2664.93310546875	 104303.3359375
18497946.0	 255.11817932128906	 1898.6580810546875	 96939.7109375
18493748.0	 291.5862121582031	 1725.0726318359375	 112498.71875
18493724.0	 301.54595947265625	 1516.1634521484375	 85930.0859375
18505610.0	 380.3238525390625	 188.92431640625	 495183.6875
18505580.0	 380.7972106933594	 194.3740234375	 454443.09375
18505552.0	 378.1872253417969	 196.90069580078125	 432595.9375
18505522.0	 380.03314208984375	 173.61489868164062	 373356.6875
18505494.0	 381.0506591796875	 206.7407684326172	 426499.25
18505464.0	 382.33544921875	 220.05496215820312	 436158.5
18505436.0	 380.76556396484375	 197.2224578857422	 360811.03125
18505406.0	 376.35272216796875	 205.9818572998047	 392313.84375
18505378.0	 377.8705749511719	 224.24627685546875	 457948.125
18505346.0	 379.9612121582031	 228.99476623535156	 457569.09375
18505320.0	 377.6878967285156	 214.50364685058594	 434008.78125
18505288.0	 389.853515625	 237.8306427001953	 446173.09375
18505262.0	 397.36474609375	 200.5675811767578	 392206.4375
18505230.0	 381.3324890136719	 216.4925079345703	 544726.25
18505204.0	 391.9903564453125	 255.8303680419922	 543966.8125
18505172.0	 382.1440124511719	 208.4574737548828	 528868.875
18505146.0	 392.6003112792969	 228.62762451171875	 494618.6875
18505116.0	 388.1886291503906	 193.86241149902344	 449298.46875
18505088.0	 386.6453857421875	 220.2095184326172	 488291.34375
18505058.0	 384.5724182128906	 204.21548461914062	 410115.71875
18505030.0	 381.7628173828125	 192.35220336914062	 511942.15625
18505000.0	 390.95306396484375	 199.7933807373047	 384445.71875
18504970.0	 388.4841003417969	 198.494140625	 575463.0
18504914.0	 386.07244873046875	 205.77621459960938	 583346.0625
18504884.0	 396.3855285644531	 230.53817749023438	 523771.3125
18504826.0	 393.3630676269531	 248.15142822265625	 654401.625
18504796.0	 395.2586364746094	 204.10845947265625	 565298.5
18504768.0	 411.0423583984375	 211.91769409179688	 384734.21875
18504738.0	 406.86895751953125	 252.83815002441406	 494091.09375
18504710.0	 401.0430908203125	 273.7282409667969	 644335.5625
18504652.0	 393.2988586425781	 259.76470947265625	 581616.5625
18504624.0	 398.9933166503906	 191.9058837890625	 454685.9375
18504594.0	 389.9305725097656	 206.66688537597656	 408629.71875
18504566.0	 384.5325622558594	 198.6155242919922	 432897.75
18504536.0	 380.83538818359375	 193.4604949951172	 584712.375
18504508.0	 387.0946960449219	 194.989501953125	 492650.71875
18504478.0	 391.3697814941406	 176.51385498046875	 528337.4375
18504450.0	 407.0930480957031	 190.3029022216797	 593987.375
18504420.0	 396.24432373046875	 203.90554809570312	 679587.25
18504392.0	 402.3240661621094	 191.9754638671875	 692274.3125
18504362.0	 392.4715270996094	 215.02667236328125	 357616.84375
18504334.0	 375.8107604980469	 202.82179260253906	 327993.96875
18504304.0	 377.9833068847656	 206.65145874023438	 420592.0
18504276.0	 379.52056884765625	 216.590087890625	 474110.90625
18504246.0	 385.462890625	 195.8488006591797	 441479.78125
18504218.0	 385.0240478515625	 220.0154571533203	 497376.28125
18504188.0	 382.96405029296875	 189.39108276367188	 487474.375
18504160.0	 387.71343994140625	 211.75267028808594	 453209.25
18504132.0	 387.8703308105469	 223.7084503173828	 431258.09375
18504102.0	 396.6374816894531	 202.28504943847656	 423567.25
18504074.0	 386.9959411621094	 199.70521545410156	 386571.15625
18504044.0	 385.59033203125	 192.4814910888672	 402302.6875
18504016.0	 378.35186767578125	 193.56983947753906	 493768.65625
18503986.0	 383.81396484375	 201.34490966796875	 519885.03125
18503958.0	 382.3209228515625	 194.1659393310547	 426370.28125
18503928.0	 384.78338623046875	 197.05108642578125	 494641.96875
18503868.0	 377.5470275878906	 196.43734741210938	 523500.6875
18503840.0	 387.7101745605469	 214.06344604492188	 495638.6875
18503810.0	 392.210205078125	 209.17906188964844	 417069.3125
18503782.0	 396.0083923339844	 193.3899688720703	 457705.125
18503752.0	 396.6640930175781	 206.7541961669922	 515529.59375
18503724.0	 384.3354187011719	 197.8653106689453	 516069.6875
18503694.0	 379.6669006347656	 219.382080078125	 499101.65625
18503666.0	 393.0870056152344	 187.80661010742188	 423576.5
18503638.0	 389.18603515625	 209.46966552734375	 438161.5625
18503608.0	 398.0685729980469	 197.40870666503906	 352071.4375
18503580.0	 396.2089538574219	 190.32244873046875	 356396.375
18503550.0	 386.13818359375	 199.03378295898438	 503789.84375
18503522.0	 387.0848388671875	 221.6207275390625	 516747.59375
18503492.0	 401.7837219238281	 202.27865600585938	 424067.59375
18503464.0	 395.66766357421875	 204.7176513671875	 473750.5
18503434.0	 397.28460693359375	 202.282958984375	 496490.90625
18503406.0	 397.0051574707031	 213.34840393066406	 528955.0
18503376.0	 394.7654724121094	 198.78187561035156	 479901.34375
18503348.0	 396.7084045410156	 219.2239532470703	 593401.625
18503290.0	 400.0743103027344	 196.2779998779297	 379564.46875
18503260.0	 397.23773193359375	 186.4302978515625	 347043.59375
18503232.0	 380.9048156738281	 186.5276336669922	 498263.5625
18503202.0	 392.63494873046875	 195.6540985107422	 428104.875
18503174.0	 385.62548828125	 180.2333221435547	 432576.78125
18503144.0	 391.6513977050781	 197.7044219970703	 480211.25
18503086.0	 380.31622314453125	 183.13795471191406	 444352.53125
18503056.0	 370.1367492675781	 194.39476013183594	 349957.75
18503028.0	 376.6730041503906	 213.21678161621094	 375331.71875
18502998.0	 371.4160461425781	 190.6666717529297	 336041.3125
18502970.0	 370.88330078125	 195.1400604248047	 334820.875
18502912.0	 376.2595520019531	 173.90838623046875	 267231.8125
18502882.0	 370.9145812988281	 178.366455078125	 287943.5625
18502854.0	 361.8037109375	 185.09478759765625	 420761.46875
18502824.0	 365.9955749511719	 211.938720703125	 431701.75
18502796.0	 371.0509948730469	 197.57614135742188	 338257.28125
18502766.0	 374.9767761230469	 180.47024536132812	 301018.28125
18502738.0	 378.80828857421875	 206.51661682128906	 418452.125
18502708.0	 367.31048583984375	 195.80581665039062	 372399.03125
18502680.0	 370.2829895019531	 197.16493225097656	 403540.25
18502650.0	 370.0805969238281	 187.19461059570312	 459201.5625
18502622.0	 386.6529846191406	 207.16233825683594	 513586.1875
18502594.0	 408.7811279296875	 186.1627197265625	 518806.84375
18502564.0	 408.0117492675781	 187.00221252441406	 576601.9375
18502536.0	 401.10186767578125	 224.0785675048828	 874808.1875
18502506.0	 400.70660400390625	 202.43687438964844	 798243.125
18502478.0	 393.29736328125	 193.25794982910156	 522702.0625
18502448.0	 385.9039611816406	 192.54757690429688	 477967.03125
18502420.0	 384.8570251464844	 175.550048828125	 377107.28125
18502390.0	 403.1284484863281	 180.76785278320312	 482436.125
18502362.0	 379.24444580078125	 191.93797302246094	 460604.40625
18502304.0	 365.0884094238281	 194.5977325439453	 475903.65625
18502274.0	 374.6664123535156	 177.8937530517578	 264286.34375
18502246.0	 366.9429931640625	 186.4290008544922	 372965.34375
18502188.0	 359.30767822265625	 192.06399536132812	 395351.375
18502158.0	 365.1302185058594	 177.40614318847656	 303337.8125
18502130.0	 366.963134765625	 188.00039672851562	 312455.03125
18502100.0	 365.0618896484375	 195.39048767089844	 313851.75
18502072.0	 368.1092529296875	 179.11936950683594	 248061.390625
18502044.0	 364.943359375	 186.034912109375	 288495.125
18502014.0	 362.087158203125	 205.9641876220703	 421354.3125
18501956.0	 369.2127380371094	 170.69244384765625	 272195.0
18501928.0	 362.6835632324219	 181.28407287597656	 335598.5625
18501898.0	 369.95684814453125	 185.16030883789062	 264831.625
18501870.0	 383.65777587890625	 199.3589324951172	 391950.375
18501840.0	 368.7528381347656	 196.9790496826172	 377782.84375
18501812.0	 375.57489013671875	 176.2544403076172	 373076.4375
18501782.0	 373.9145812988281	 177.9001922607422	 346499.90625
18501754.0	 374.05169677734375	 186.11268615722656	 362570.03125
18501696.0	 366.42193603515625	 191.58941650390625	 390641.21875
18501666.0	 368.7619934082031	 192.9978485107422	 316306.65625
18501636.0	 369.0349426269531	 172.3083953857422	 249736.03125
18501608.0	 358.8977355957031	 169.1904754638672	 298826.96875
18501578.0	 360.25677490234375	 181.83863830566406	 311479.625
18501550.0	 361.52825927734375	 180.93861389160156	 271440.0625
18501520.0	 356.1397399902344	 198.15927124023438	 336230.90625
18501492.0	 357.2700500488281	 186.88462829589844	 322966.15625
18501462.0	 357.5328369140625	 187.1712646484375	 294345.3125
18501434.0	 353.80670166015625	 187.8642578125	 333565.84375
18501404.0	 364.9638977050781	 179.94610595703125	 274356.25
18501376.0	 359.7142333984375	 182.4400634765625	 307977.0625
18501318.0	 358.2364501953125	 190.5624237060547	 301717.375
18500998.0	 460.51531982421875	 206.046142578125	 1127751.375
18500970.0	 488.72076416015625	 218.3494110107422	 959019.1875
18500912.0	 489.597412109375	 202.8750762939453	 1429650.25
18500884.0	 469.7225036621094	 203.14669799804688	 1075247.5
18500854.0	 472.684814453125	 170.7371063232422	 729763.1875
18500826.0	 435.0941162109375	 172.3109893798828	 688372.6875
18500796.0	 432.2247314453125	 202.4608154296875	 806129.6875
18500768.0	 462.4520263671875	 166.1809539794922	 516285.3125
18500738.0	 451.10394287109375	 212.87997436523438	 738719.5
18500302.0	 529.0736694335938	 187.62208557128906	 1024252.0
18500274.0	 481.3519287109375	 188.67417907714844	 1580349.25
18500244.0	 534.9898071289062	 170.69522094726562	 964042.1875
18498824.0	 450.9167785644531	 227.81373596191406	 700055.125
18498794.0	 454.7191467285156	 204.52362060546875	 684263.375
18498736.0	 412.9782409667969	 252.5995330810547	 755256.5
18498708.0	 409.2808837890625	 179.88084411621094	 667740.25
18498678.0	 425.0700378417969	 193.69869995117188	 509141.1875
18498650.0	 409.4334716796875	 205.7454376220703	 413406.96875
18498620.0	 406.5478820800781	 211.26268005371094	 416095.3125
18498592.0	 396.7880554199219	 218.37303161621094	 364957.5
18498562.0	 383.1619873046875	 236.9369659423828	 479316.1875
18498534.0	 384.888671875	 283.9884033203125	 521905.46875
18498504.0	 397.3670959472656	 226.4651336669922	 396363.34375
18498476.0	 395.5118713378906	 260.5237121582031	 450513.84375
18498446.0	 385.1708068847656	 267.6706237792969	 416071.1875
18498418.0	 395.472900390625	 218.95272827148438	 339837.75
18498390.0	 378.0711669921875	 249.46868896484375	 514354.03125
18498360.0	 380.2448425292969	 250.13101196289062	 465444.96875
18498332.0	 381.4250183105469	 250.92300415039062	 407110.5625
18498302.0	 386.7898864746094	 227.96632385253906	 382936.875
18498216.0	 388.56146240234375	 279.0832824707031	 415307.125
18498186.0	 384.527099609375	 234.5860595703125	 377301.3125
18498070.0	 386.7998352050781	 192.5238800048828	 350603.125
18498042.0	 390.1331787109375	 204.8324432373047	 372821.9375
18498012.0	 378.54998779296875	 240.66770935058594	 490221.6875
18497984.0	 378.318115234375	 235.27725219726562	 438176.1875
18497954.0	 387.47991943359375	 242.33099365234375	 419134.53125
18497926.0	 397.4819030761719	 241.423583984375	 394888.78125
18497896.0	 390.18768310546875	 234.94708251953125	 447673.1875
18497868.0	 398.7916564941406	 254.7133331298828	 453634.96875
18497838.0	 404.25830078125	 245.3185577392578	 418014.9375
18497810.0	 398.7806701660156	 234.50588989257812	 389425.59375
18497780.0	 382.6544494628906	 252.87008666992188	 487875.03125
18497750.0	 393.0185241699219	 226.20907592773438	 472889.34375
18497722.0	 393.6699523925781	 261.33380126953125	 457436.9375
18497692.0	 387.8663635253906	 279.9179382324219	 451854.78125
18497664.0	 390.0007629394531	 245.9969024658203	 395404.1875
18497634.0	 396.38201904296875	 283.3583984375	 380955.96875
18497606.0	 400.87945556640625	 254.7793426513672	 437443.96875
18497576.0	 395.9756774902344	 291.686767578125	 575606.125
18497548.0	 408.9775085449219	 273.8766784667969	 348233.84375
18497518.0	 405.5013122558594	 259.9668273925781	 513099.65625
18497490.0	 407.305419921875	 357.86065673828125	 499180.15625
18497460.0	 406.6165466308594	 234.06993103027344	 490246.5625
18497432.0	 405.2264099121094	 295.000244140625	 401429.46875
18497402.0	 405.22796630859375	 266.4845886230469	 452451.53125
18497374.0	 393.1900329589844	 247.2582244873047	 564883.0625
18497344.0	 400.95977783203125	 262.66644287109375	 442636.40625
18497316.0	 389.7557373046875	 252.55992126464844	 400642.71875
18497286.0	 386.1679382324219	 240.99464416503906	 460087.53125
18497258.0	 388.7244567871094	 227.3048095703125	 335890.5
18497228.0	 388.8912658691406	 220.990966796875	 360223.90625
18497084.0	 387.4367980957031	 233.15322875976562	 374653.1875
18497054.0	 386.9260559082031	 220.14553833007812	 450967.96875
18497026.0	 380.62567138671875	 254.45538330078125	 378172.34375
18496998.0	 381.677490234375	 205.53013610839844	 328697.34375
18496968.0	 376.8375244140625	 217.4303741455078	 335535.78125
18496940.0	 368.8925476074219	 222.49188232421875	 414115.875
18496910.0	 371.5750732421875	 228.68968200683594	 393842.90625
18496882.0	 376.2153015136719	 219.24925231933594	 308106.65625
18496852.0	 374.92431640625	 211.66758728027344	 307970.40625
18496766.0	 374.3034362792969	 212.45713806152344	 347189.46875
18496736.0	 376.65716552734375	 208.8601531982422	 287180.0
18496706.0	 370.67822265625	 220.21420288085938	 401900.1875
18496676.0	 374.4914245605469	 213.76516723632812	 326240.65625
18496648.0	 379.8282165527344	 228.3422088623047	 327543.53125
18496620.0	 381.326416015625	 210.45452880859375	 290689.8125
18496592.0	 382.2978515625	 234.10147094726562	 303373.21875
18496562.0	 384.1028137207031	 228.70875549316406	 298422.53125
18496534.0	 380.15985107421875	 218.11904907226562	 308366.25
18496504.0	 376.29705810546875	 206.81979370117188	 304457.71875
18496476.0	 381.5857238769531	 203.95071411132812	 292114.53125
18496418.0	 386.2641906738281	 254.2672576904297	 350670.78125
18496388.0	 376.9433288574219	 226.35720825195312	 407782.625
18496360.0	 385.9464416503906	 216.3572235107422	 293711.09375
18496330.0	 374.1741027832031	 221.6223907470703	 345055.0
18496302.0	 376.8042907714844	 239.17788696289062	 357070.46875
18496274.0	 383.8715515136719	 235.41551208496094	 414279.84375
18496214.0	 374.61846923828125	 214.07603454589844	 335576.03125
18496184.0	 374.8379211425781	 216.07191467285156	 278636.65625
18496156.0	 372.063720703125	 204.11386108398438	 299090.3125
18496126.0	 380.6178894042969	 223.3827362060547	 314485.5
18496098.0	 383.36065673828125	 186.4977569580078	 263499.09375
18496040.0	 377.3762512207031	 250.7779083251953	 446201.03125
18496010.0	 378.1397399902344	 176.5581817626953	 294659.71875
18495926.0	 378.0301208496094	 178.33111572265625	 296398.0625
18495894.0	 391.0009765625	 247.20510864257812	 360350.21875
18495868.0	 390.2162170410156	 189.32740783691406	 342180.21875
18495838.0	 404.2153625488281	 214.63706970214844	 436764.46875
18495808.0	 390.9021301269531	 184.34580993652344	 381132.8125
18495780.0	 389.0709533691406	 216.67160034179688	 311260.1875
18495750.0	 380.1294860839844	 182.99082946777344	 309785.15625
18495720.0	 374.6949157714844	 218.4386444091797	 384648.75
18495662.0	 390.97607421875	 213.0128631591797	 443051.15625
18495634.0	 397.6019287109375	 194.8466339111328	 380097.65625
18495546.0	 374.578857421875	 203.30775451660156	 300751.375
18495518.0	 380.4400939941406	 198.09384155273438	 267496.5
18495490.0	 379.5710754394531	 214.898681640625	 369708.4375
18495460.0	 382.29547119140625	 183.48388671875	 289896.6875
18495432.0	 378.1573791503906	 210.4237518310547	 363905.40625
18495228.0	 398.56976318359375	 218.94967651367188	 411396.28125
18495200.0	 394.8649597167969	 200.8572540283203	 370139.0625
18495170.0	 394.5299377441406	 216.44407653808594	 387396.03125
18495142.0	 383.1268005371094	 197.82276916503906	 306135.15625
18495112.0	 393.0863952636719	 244.70217895507812	 428955.6875
18495084.0	 403.6896057128906	 279.86407470703125	 470697.46875
18495054.0	 386.1126403808594	 302.5034484863281	 521371.8125
18495026.0	 404.0416564941406	 340.6629638671875	 549958.4375
18494996.0	 409.5710144042969	 249.96910095214844	 563141.5
18494968.0	 403.3308410644531	 238.49237060546875	 610544.3125
18494938.0	 408.2564697265625	 238.844482421875	 395278.59375
18494910.0	 413.2217102050781	 209.15538024902344	 472454.9375
18494880.0	 428.0013732910156	 218.76966857910156	 500233.15625
18494852.0	 415.9529724121094	 223.34921264648438	 548348.1875
18494822.0	 429.9246826171875	 289.33856201171875	 704631.8125
18494794.0	 435.3456726074219	 258.617919921875	 733081.25
18494762.0	 436.5012512207031	 228.78128051757812	 587296.875
18494734.0	 433.30645751953125	 257.9222106933594	 662163.75
18494704.0	 441.3655090332031	 249.8817901611328	 880648.75
18494648.0	 450.210205078125	 308.97503662109375	 1045282.875
18494502.0	 474.76544189453125	 372.7903137207031	 1022440.5
18494476.0	 465.0911560058594	 328.8133850097656	 1013462.0625
18494444.0	 465.24212646484375	 254.1935272216797	 614543.8125
18494360.0	 437.1155700683594	 340.6955871582031	 650544.125
18494300.0	 417.4059753417969	 226.8485870361328	 586128.375
18494270.0	 417.7500305175781	 284.93701171875	 723188.1875
18494242.0	 414.2047424316406	 288.9533386230469	 716583.25
18494212.0	 422.057861328125	 251.74563598632812	 458253.21875
18494184.0	 425.3984375	 289.922607421875	 567224.4375
18494154.0	 425.7935791015625	 215.8124542236328	 507678.59375
18494126.0	 427.2319641113281	 253.7090606689453	 543032.4375
18494096.0	 419.6343688964844	 223.27212524414062	 620314.375
18494068.0	 424.1241455078125	 227.65711975097656	 799750.5
18494012.0	 462.7064514160156	 187.5440216064453	 647475.3125
18493982.0	 426.1817626953125	 250.35128784179688	 634738.25
18493954.0	 433.98980712890625	 236.1098175048828	 593771.625
18493836.0	 443.7222595214844	 256.3170166015625	 655412.4375
