START:	 43.5
END:	 44.0

r [km]	 vr [km/s]	 np [cm-3]	 T [K]
30610788.0	 418.4737243652344	 132.25552368164062	 348948.90625
30610766.0	 401.4627990722656	 145.4960174560547	 619383.25
30610740.0	 417.6141662597656	 126.49784088134766	 343427.8125
30610716.0	 401.8192138671875	 143.3493194580078	 596625.0
30610692.0	 412.96881103515625	 132.45452880859375	 399181.0625
30610668.0	 406.88677978515625	 141.00625610351562	 522471.46875
30610642.0	 409.8877258300781	 137.80747985839844	 402135.3125
30610620.0	 419.7357177734375	 133.2623291015625	 397255.65625
30610594.0	 413.75555419921875	 137.29917907714844	 404337.625
30610570.0	 409.8499755859375	 138.4022216796875	 497066.65625
30610546.0	 426.43475341796875	 131.96240234375	 352300.34375
30610522.0	 415.325439453125	 136.97314453125	 512710.9375
30610496.0	 413.78369140625	 140.01736450195312	 524924.3125
30610472.0	 401.8963623046875	 145.81976318359375	 637853.0
30610448.0	 412.1456604003906	 135.85585021972656	 400599.6875
30610422.0	 417.2396240234375	 135.3173828125	 408163.4375
30610396.0	 415.84820556640625	 135.67506408691406	 411361.59375
30610374.0	 407.7575988769531	 146.36167907714844	 552943.125
30610348.0	 419.29119873046875	 131.62156677246094	 378350.34375
30610324.0	 417.59210205078125	 129.3816680908203	 351252.65625
30610300.0	 420.4683837890625	 129.9175567626953	 350492.96875
30610276.0	 417.1114501953125	 134.5994110107422	 382353.125
30610250.0	 407.45452880859375	 141.6195831298828	 527846.75
30610202.0	 400.6667175292969	 149.5144805908203	 620972.9375
30610178.0	 424.09014892578125	 130.09439086914062	 342661.5
30610156.0	 419.28521728515625	 133.05751037597656	 377202.40625
30610130.0	 424.8322448730469	 128.64732360839844	 342387.15625
30610104.0	 416.88580322265625	 136.88133239746094	 469656.03125
30610080.0	 418.2795715332031	 134.59530639648438	 384592.1875
30610056.0	 407.58221435546875	 146.86473083496094	 563052.0625
30610030.0	 412.3580322265625	 139.299560546875	 457450.28125
30610008.0	 399.9437255859375	 149.2763214111328	 661591.875
30609982.0	 411.4303283691406	 138.12969970703125	 427878.75
